id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17841441,Cozy/Quiet Apartment in the heart of Antwerp.,11908729,Lars,,Historisch Centrum,51.22261,4.40418,Entire home/apt,55,7,0,,,2,0
17854773,Lovely private studio in garden,96975248,Jeanne-Marie,,Deurne Dorp - Gallifort,51.2196,4.45873,Entire home/apt,41,2,17,2019-01-01,0.79,1,73
17877473,Blue Urban Flat: the new trendy place in the city,122399857,Iris,,Theaterbuurt-Meir,51.2138,4.40832,Entire home/apt,109,2,117,2019-02-03,5.14,1,220
17898985,A'pen centre apartment + terras with a view,40183054,Geert,,Theaterbuurt-Meir,51.21135,4.40152,Entire home/apt,110,2,17,2019-01-01,0.82,1,0
17911859,Complete house | 10 people | historic center,4113286,Kathleen,,Historisch Centrum,51.21792,4.39963,Entire home/apt,350,2,19,2018-12-29,1.22,2,293
17913667,Vintage flamenco appartment,32574098,Trijn,,Borgerhout Intra Muros Noord,51.21679,4.44011,Entire home/apt,35,1,30,2018-12-30,1.53,1,361
17917415,Spacious and bright apartment with park view,89467307,Regina,,Rivierenhof,51.21929,4.46543,Private room,50,1,4,2017-06-25,0.18,2,0
17965621,RELAX sunny Centre south - Maravilloso piso para 3,107750838,S.,,Zuid,51.21087,4.39312,Entire home/apt,81,4,0,,,29,364
18010399,"Great terrace at the river, new apt. top location",60756836,Ann,,Nieuw - Zuid,51.20718,4.38422,Entire home/apt,180,2,17,2019-01-06,0.82,5,280
18012645,Beau duplex - Centre d anvers,71635058,Ilana,,Amandus - Atheneum,51.22096,4.41792,Entire home/apt,45,1,3,2017-04-24,0.13,1,0
18016001,Pleasant and comfortable place,117355259,Luís,,Markgrave,51.19528,4.40578,Shared room,19,1,3,2018-07-01,0.13,3,0
18017190,Nice and cosy apartment in Antwerp,19380440,Hodney,,Borgerhout Extra Muros,51.20814,4.44857,Entire home/apt,65,1,83,2019-02-06,4.06,1,110
