id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12625067,Coastal family home with sea views,68546292,Ken,,Fingal,53.44536,-6.13561,Entire home/apt,115,3,2,2016-07-23,0.06,1,0
12636200,"Excellent, Ideal for travelers",68506839,Francisco And Marta,,Dublin City,53.34861,-6.27976,Private room,45,1,203,2019-01-27,6.06,2,192
12636941,Hillview Self Catering Apartments,67554072,Leo,,Fingal,53.53927,-6.15251,Entire home/apt,149,2,0,,,1,364
12637947,One bedRoom flat (ONLY for 4weeks),15178854,Diane,,Dublin City,53.32364,-6.25924,Entire home/apt,60,7,1,2016-07-01,0.03,1,0
12641231,Delightful Modern apartment,4259961,Daragh,,Dublin City,53.33146,-6.22896,Entire home/apt,125,5,1,2016-07-31,0.03,1,0
12643250,Magnificent Monkstown,68668248,Colette,,Dn Laoghaire-Rathdown,53.28614,-6.15576,Private room,40,1,48,2018-11-02,1.41,3,361
12649302,Ensuite Attic Room 2 Bed Clontarf,28950803,Hilda,,Dublin City,53.36643,-6.17807,Private room,80,1,44,2018-10-16,1.33,1,169
12649947,Haute-Design in Central Dublin,23733099,Marco,,Dublin City,53.33677,-6.24172,Entire home/apt,275,4,5,2018-08-13,0.22,1,38
12660909,"Self contained, Own Private Entrance, Tranquil",68788578,Mary,,Dublin City,53.38334,-6.23533,Entire home/apt,68,1,296,2019-02-10,9.96,1,22
12662876,Fabulous home for city & motorway.,39888771,Joanne,,South Dublin,53.30366,-6.3043,Entire home/apt,95,6,1,2016-05-09,0.03,1,25
12666045,Homely 1900s cottage,15941336,Carla,,Dublin City,53.32211,-6.2351,Entire home/apt,165,3,10,2017-02-22,0.29,1,22
12667037,Twin bed room with private en-suite.,52527546,Maeve,,South Dublin,53.29518,-6.28965,Private room,60,2,74,2019-02-10,2.24,1,78
12669353,Best city location Modern apartment,6275247,Michael,,Dublin City,53.33871,-6.24102,Entire home/apt,105,1,127,2018-03-18,3.76,1,0
12670060,Halfpenny Bridge Holidays Homes - Connemara Girl,68350233,Liam,,Dublin City,53.35201,-6.25929,Entire home/apt,147,4,32,2018-12-11,1.12,14,191
12675194,Secluded tranquil family home,68548479,Ann,,Dn Laoghaire-Rathdown,53.28666,-6.1393,Entire home/apt,150,4,8,2017-08-15,0.25,1,0
12691193,Halfpenny Bridge Holidays Homes - Little Library,68350233,Liam,,Dublin City,53.35053,-6.25795,Entire home/apt,102,4,62,2019-02-13,2.15,14,149
12692050,Very Large City Centre Apartment (2 bathrooms),23296547,Zahira,,Dublin City,53.34755,-6.27954,Entire home/apt,175,2,162,2018-12-26,5.09,3,239
12694650,Artisan house close to the Phoenix Park.,35327210,Orlagh,,Dublin City,53.35235,-6.29608,Entire home/apt,110,4,7,2019-01-02,0.98,1,57
12699587,Destiny Student Binary Hub,69028924,Troy,,Dublin City,53.34583,-6.28452,Private room,89,1,9,2016-09-08,0.29,1,0
12705166,Elegant Apartment - 18th Century Mansion,69063606,Anne,,Dn Laoghaire-Rathdown,53.21171,-6.135,Entire home/apt,60,7,4,2018-08-13,0.22,1,231
12706821,"Crow Street, Temple Bar, Dublin 2.",42143288,Mic,,Dublin City,53.34492,-6.2628,Private room,70,2,120,2019-01-02,6.30,1,151
12708592,"Jane and Daisy's Cosy ""Gaff""",14401328,Jane,,Dublin City,53.38601,-6.29073,Entire home/apt,100,2,19,2018-10-07,0.58,1,50
12709042,Cozy Bedroom in City Centre,50288226,Tarek,,Dublin City,53.34555,-6.24672,Private room,70,2,5,2016-05-23,0.15,2,0
12724935,Double bed in heart of Dublin,15235743,Francesco,,Dublin City,53.33706,-6.26723,Private room,65,3,7,2016-09-25,0.21,1,0
12727517,"GREAT LOCATION, GREAT HOUSE! ♥♡♥",27217008,Mairead,,Dn Laoghaire-Rathdown,53.27926,-6.25178,Entire home/apt,200,5,4,2018-07-18,0.13,1,0
12730068,"Sunny room in Storytellers' Cottage, with loft bed",69220873,Michael,,Dublin City,53.33598,-6.28622,Private room,75,2,35,2018-10-28,1.11,1,227
